venue,eventName,Date,Time,Link,liveMusic,artistIDs,price
Larimer Lounge,"Haus of Arys presents Open House Feat. Tasba, Lady Arys, Tom Evans + Deep Blue (FREE BEFORE 11)",2025-12-26,21:00,https://larimerlounge.com/event/haus-of-arys-presents-open-house-feat-tasba-lady-arys-tom-evans-deep-blue-free-before-11/larimer-lounge/denver-colorado/,yes,"57, 58, 59, 60",0
Nocturne Jazz,The Taylor Clay Quintet,2025-12-26,18:00,https://nocturnejazz.com/flat-view/16-uncategorised/4574-the-taylor-clay-quintet,yes,61,125
Reelworks,ARMNHMR,2025-12-26,,https://reelworksdenver.com/event/armnhmr/,yes,"62, 63, 64, 65",29.50
skylark lounge,Super Premium Ultra Deluxe/Swade Brigade,2025-12-26,,https://dice.fm/event/v3gqb6-super-premium-ultra-deluxeswade-brigade-26th-dec-skylark-lounge-denver-tickets?pid=3b6c903d,yes,"66, 67",14.47
Two Moons Music,Blackwater,2025-12-26,20:00,https://www.twomoonsmusic.com/events-list/blackwater-live,no,,
The Black Buzzard,"Lexi Cline, Austin Martin, Bella Laine - Holiday Showcase",2025-12-27,20:00,https://tixr.com/e/167396,yes,"68, 69, 70",24.50
Church Nightclub,Decadence Official Pre Party: Big Gigantic,2025-12-27,,https://churchnightclubco.com/event/big-gigantic-upcoming-edm-shows-nightlife-concerts-events-tonight-tomorrow-2025-dec-27-best-nightclub-near-me-denver-co/,yes,71,39.95
Globe Hall,"Cracked Ribs w/ Hydrangea, 39 Buried + Ashes In Braille",2025-12-27,19:00,https://globehall.com/event/cracked-ribs-w-hydrangea-39-buried-ashes-in-braille/globe-hall/denver-colorado/,yes,"72, 73, 74",20.30
Hi Dive,Blööd Oath + Total Cult + The Savage Blush,2025-12-27,20:00,https://hi-dive.com/listing/blood-oath-total-cult-the-savage-blush/,yes,"75, 76, 77",12
HQ,Melody In Heart (Farewell Show),2025-12-27,19:00,http://hqdenver.holdmyticket.com/tickets/455202,yes,"78, 79, 80",14.25
Larimer Lounge,"Open House Feat. Tantok w/ Erin Stereo, Loracle + Nugsupreme (FREE BEFORE 11)",2025-12-27,21:00,https://larimerlounge.com/event/open-house-feat-tantok-w-erin-stereo-loracle-nugsupreme-free-before-11/larimer-lounge/denver-colorado/,yes,"81, 82, 83, 84",0
Larimer Lounge,Ski House – Do Cool Shit With your Friends presents Freddy Rule b2b Tan Lightning (FREE EVENT),2025-12-27,21:00,https://larimerlounge.com/event/ski-house-do-cool-shit-with-your-friends-presents-freddy-rule-b2b-tan-lightning-free-event/ski-house/denver-colorado/,yes,"85, 86",0
Mission Ballroom,Boombassador (The Polish Ambassador & BoomBox),2025-12-27,19:00,https://www.missionballroom.com/events/detail?event_id=1131530,yes,"87, 88, 89",35
Nocturne Jazz,Altin Sencalar Quintet,2025-12-27,15:00,https://nocturnejazz.com/flat-view/16-uncategorised/4575-altin-sencalar-quintet,yes,90,125
ogden theatre,Effin,2025-12-27,21:00,https://www.ogdentheatre.com/events/detail?event_id=1115661,yes,"91, 92, 93, 94, 95",50.01
skylark lounge,The Oldmen/The Tammy Shine/JC Superstar,2025-12-27,,https://dice.fm/event/g5k6mb-the-oldmenthe-tammy-shinejc-superstar-27th-dec-skylark-lounge-denver-tickets?pid=3b6c903d,yes,"96, 97, 98",18.08
Summit,BLADE RAVE - 21+,2025-12-27,21:00,https://www.ticketmaster.com/blade-rave-21-denver-colorado-12-27-2025/event/1E00633AD6BF4DC5,yes,99,28
Two Moons Music,Something Denver,2025-12-27,18:00,https://www.twomoonsmusic.com/events-list/something-denver,no,,
Globe Hall,Blue Ribbon Band w/ Critter + Cookout,2025-12-28,16:00,https://globehall.com/event/blue-ribbon-band-w-critter-cookout/globe-hall/denver-colorado/,yes,"100, 101, 102",24.80
Larimer Lounge,Worldwalker w/ Weeping isopropyl + Pseudocoma,2025-12-28,16:00,https://larimerlounge.com/event/worldwalker-w-weeping-isopropyl-pseudocoma/larimer-lounge/denver-colorado/,yes,"103, 104, 105",24.80
Lions Lair,Laxin' at the Lair: With Guest,2025-12-28,18:00,https://www.lionslairco.com/events/jawgg9wka6kj7r7-j4pj3-49lz5-nrc5r-x2cn2-cpexy-bwzkg,no,,
Nocturne Jazz,Eirik Haugbro Quartet,2025-12-28,18:00,https://nocturnejazz.com/flat-view/16-uncategorised/4565-eirik-haugbro-quartet,yes,106,125
Oriental Theater,Lemmy Kilmister Celebration & Remembrance,2025-12-28,,https://www.theorientaltheater.com/event/454255,yes,"107, 108",24.77
Gothic Theatre,The Budos Band,2025-12-30,21:00,https://www.gothictheatre.com/events/detail?event_id=922225,yes,"109, 110, 111",49.49
ogden theatre,Pigeons Playing Ping Pong,2025-12-30,20:00,https://www.ogdentheatre.com/events/detail?event_id=1098031,yes,"112, 113",50.57
The Black Buzzard,Midnight in Ruby Pines: Haunted NYE Countdown Concert,2025-12-31,20:30,https://tixr.com/e/168102,yes,"114, 118, 116, 117",19.50
Church Nightclub,Kasbo,2025-12-31,,https://churchnightclubco.com/event/kasbo-upcoming-edm-shows-nightlife-concerts-events-tonight-tomorrow-2025-dec-31-best-nightclub-near-me-denver-co/,yes,"119, 120, 121",44.95
Globe Hall,Dead Floyd – New Years Bash w/ Jammy Pac,2025-12-31,19:00,https://globehall.com/event/dead-floyd-new-years-bash-w-jammy-pac/globe-hall/denver-colorado/,yes,"122, 123",44.4
Gothic Theatre,The Budos Band,2025-12-31,21:00,https://www.gothictheatre.com/events/detail?event_id=925868,yes,"109, 110, 124",54.13
Hi Dive,A Lipgloss New Years Eve,2025-12-31,20:00,https://hi-dive.com/listing/a-lipgloss-new-years-eve/,no,,
HQ,Transmission,2025-12-31,21:00,http://hqdenver.holdmyticket.com/tickets/455207,yes,"125, 126",14.25
Larimer Lounge,"Don Fuego New Years Eve Haus Party w/ Sunny Side Up, Chris Ares + Racket Club",2025-12-31,20:00,https://larimerlounge.com/event/don-fuego-new-years-eve-haus-party-w-sunny-side-up-chris-ares-racket-club/larimer-lounge/denver-colorado/,yes,"127, 128, 129, 130",24.80
