id,event_id,action,created_at,event_name
899,flamingosis-w-blockhead-pure-colors-little-mac-cervantes-masterpiece-ballroom-2026-01-31,viewed,2026-01-16 02:51:17.092811+00,"Flamingosis w/ Blockhead, Pure Colors, Little Mac"
900,zach-nugent-s-dead-set-w-lucas-parker-band-the-buzz-cervantes-other-side-2026-01-17,viewed,2026-01-16 02:51:17.116135+00,"Zach Nugent’s Dead Set w/ Lucas Parker Band, The Buzz"
901,tripp-st-w-rsun-rendr-vyhara-dizzy-cervantes-masterpiece-ballroom-2026-01-24,viewed,2026-01-16 02:51:17.129198+00,"Tripp St. w/ rSUN, Rendr, Vyhara, Dizzy!"
902,amnesiacs-radiohead-tribute-rally-round-the-family-rage-against-the-machine-tribute-w-apostles-of-fire-black-sabbath-cervantes-other-side-2026-02-06,viewed,2026-01-16 04:27:39.649862+00,Amnesiacs (Radiohead Tribute) & Rally ‘Round The Family (Rage Against The Machine Tribute) w/ Apostles of Fire (Black Sabbath)
903,ozztin-w-yojas-inari-split-velcroshirt-cervantes-other-side-2026-01-23,viewed,2026-01-16 04:27:39.651397+00,"Ozztin w/ Yojas, Inari, SPLiT, VelcroShirt"
904,lotus-friday-1-16-cervantes-masterpiece-ballroom-2026-01-16,viewed,2026-01-16 04:27:39.649865+00,Lotus **FRIDAY 1/16**
905,kyle-hollingsworth-band-w-breadbox-ballroom-dave-watts-friends-w-hot-like-mars-other-side-cervantes-other-side-2026-01-30,viewed,2026-01-16 19:24:49.407096+00,Kyle Hollingsworth Band w/ Breadbox (Ballroom) + Dave Watts & Friends w/ Hot Like Mars (Other Side)
906,kitchen-dwellers-w-silas-herman-the-tone-unit-friday-1-23-cervantes-masterpiece-ballroom-2026-01-23,viewed,2026-01-16 19:24:49.407119+00,Kitchen Dwellers w/ Silas Herman & The Tone Unit **FRIDAY 1/23**
907,lotus-saturday-1-17-cervantes-masterpiece-ballroom-2026-01-17,viewed,2026-01-16 19:24:49.406242+00,Lotus **SATURDAY 1/17**
908,wake-up-and-live-a-bob-marley-tribute-w-a-mac-the-height-dj-selekta-razja-cervantes-other-side-2026-02-05,viewed,2026-01-16 23:14:55.284005+00,"Wake Up and Live – A Bob Marley Tribute w/ A-Mac & the Height, DJ Selekta Razja"
909,lotus-friday-1-16-cervantes-masterpiece-ballroom-2026-01-16,viewed,2026-01-16 23:14:55.285752+00,Lotus **FRIDAY 1/16**
910,kyle-hollingsworth-band-w-breadbox-ballroom-dave-watts-friends-w-hot-like-mars-other-side-cervantes-other-side-2026-01-30,viewed,2026-01-16 23:14:55.284023+00,Kyle Hollingsworth Band w/ Breadbox (Ballroom) + Dave Watts & Friends w/ Hot Like Mars (Other Side)
911,zach-nugent-s-dead-set-w-lucas-parker-band-the-buzz-cervantes-other-side-2026-01-17,viewed,2026-01-17 02:51:15.745634+00,"Zach Nugent’s Dead Set w/ Lucas Parker Band, The Buzz"
912,chick-magnet-nostaljazz-slippery-when-wet-cervantes-other-side-2026-01-16,viewed,2026-01-17 02:51:15.745438+00,Chick Magnet & Nostaljazz & Slippery When Wet
