artistID,name,spotify_link
109,The Budos Band,https://open.spotify.com/artist/5q4eLKmqFVP0xII8087PHz
110,kiltro,https://open.spotify.com/artist/27CC3tpq7WQR25M03jKTZm
111,the mananas,https://open.spotify.com/artist/0FGyNRcUfWjBuMFvJ6WaN2
112,Pigeons Playing Ping Pong,https://open.spotify.com/artist/52NOvMXEjgf8MQl0qop2dl
113,magic beans,https://open.spotify.com/artist/6v39xVS6Vpmnun982EF8XH
114,jordan burgette,https://open.spotify.com/artist/19mI7kCtmNqv0MaoE72zYZ
115,residing elseware,
116,cash corp,
117,lethalpar,
118,residing elsewhere,https://open.spotify.com/artist/4xqsn0VnPF8EX6VGdXnaKD
119,Kasbo,https://open.spotify.com/artist/1ikID9RZZMvkuBGDWrqajq
120,killen.,https://open.spotify.com/artist/0faVSLrVTvEXkpSVBUQ3Wt
121,nokta servo,https://open.spotify.com/artist/1zWDkHiV3HltFihfSClOVq
122,Dead Floyd,
123,Jammy Pac,
124,bruha,https://open.spotify.com/artist/5GXJhfFR7rfCgX3CinNURz
125,Transmission,https://open.spotify.com/artist/6obg83B17mMtfK1Daazzew
126,dj eli,
127,Don Fuego,https://open.spotify.com/artist/0HwR7PZnxoEjiLwBatRX8Z
128,Sunny Side Up,https://open.spotify.com/artist/73j2VUDGjKt4LZtCkyekBa
129,Chris Ares,https://open.spotify.com/artist/5mG7cuiqHGkQawYzViDZbH
130,Racket Club,https://open.spotify.com/artist/3hbZuTiNFxMjhgrt9AJKzT
131,CJ,https://open.spotify.com/artist/7arQA31aZVS8yS6zUveWzb
132,A Second Wind,https://open.spotify.com/artist/3aicqAiPF6ryonwleahfMJ
133,bedhead,https://open.spotify.com/artist/1555UFA4CyCnJEzCKikGHe
134,the down bads,https://open.spotify.com/artist/2shrJQH4XvEMYpzfu5SBQS
135,cole hemstreet,https://open.spotify.com/artist/1o5cP1qo14QikSd3jwtTMf
136,Holdfast,https://open.spotify.com/artist/2Swe1eLITXtY5b0xOx8AE8
137,ipecac,https://open.spotify.com/artist/74lQwe7H3Xiy9rT0IM8C0K
138,tiny tomboy,https://open.spotify.com/artist/0JRS2dE68gf77BfpsV4wEg
139,Magdalena Bay,https://open.spotify.com/artist/1oPRcJUkloHaRLYx0olBLJ
140,gelli haha,https://open.spotify.com/artist/4O0acxqHYUQGGMqOICiSeI
141,DJ D.M.X.,https://open.spotify.com/artist/1BXCY3YM62q4BMhccfRQ38
142,Kevin Seitz,
143,FKJ,https://open.spotify.com/artist/2FwDTncULUnmANIh7qKa5z
144,dreamcastmoe,https://open.spotify.com/artist/05PeUup2zYw9VOGnaknbn9
145,eejebee,https://open.spotify.com/artist/5cFJUBx5psjJrIrLWWfrAu
146,DJ Kleiman,
147,Gimme Gimme Disco,
148,Borahm Lee,https://open.spotify.com/artist/0aBptzDEaDUzllpTxtqyip
149,Adam Deitch,https://open.spotify.com/artist/1robtEQJL2Fh639r3ksMfw
150,Alvin Ford Jr.,
151,AC Slater,https://open.spotify.com/artist/6EqFMCnVGBRNmwPlk2f3Uc
152,Gareth Emery,https://open.spotify.com/artist/0hprEC0nsWuQPSHag1O2Vi
153,FUKKPUNK,https://open.spotify.com/artist/0ZEw4C3Uzm2hpFuakB0QkA
154,Slim Hollow,
155,Lonleyst4r,
156,6ix1een,
157,Mildew,
158,A$HE$,
159,Ramblin' Band,
160,Talk Box,https://open.spotify.com/artist/2PulFsSY9iGnToXjw512NZ
161,Netsky,https://open.spotify.com/artist/5TgQ66WuWkoQ2xYxaSTnVP
162,Dead Pioneers,https://open.spotify.com/artist/3t0cq15eUtB2wvb1wJARsv
163,the potato pirates,https://open.spotify.com/artist/6Gfc9021xoDAilRA2sgG9p
164,team nonexistent,https://open.spotify.com/artist/2FGklye52Gf8Y8dPWCXxCc
165,Nora En Pure,https://open.spotify.com/artist/24DO0PijjITGIEWsO8XaPs
166,jerro,https://open.spotify.com/artist/1WHFu22zN1C6F11Z1rt12K
167,jack emery,https://open.spotify.com/artist/09kNySFWj0PC1S3DZvpZoj
168,Pray Burner,https://open.spotify.com/artist/74aKc04i4S6o7f4GOmFVSK
169,Hopebound,https://open.spotify.com/artist/606mAcpVU1cuCEcMf040BA
170,Gamma Paw,
171,Bay Bryan,https://open.spotify.com/artist/3AI7aR5cD9XZYk8Zha2vsX
172,Dean Lewis,https://open.spotify.com/artist/3QSQFmccmX81fWCUSPTS7y
173,matt hansen,https://open.spotify.com/artist/6wlhqnATSJIc0NQ64VxOVJ
